#Duplication rate	Coverage
1.0	1457.0
2.0	847.0
3.0	533.0
4.0	393.0
5.0	253.0
6.0	180.0
7.0	143.0
8.0	109.0
9.0	86.0
10.0	75.0
11.0	48.0
12.0	62.0
13.0	44.0
14.0	34.0
15.0	21.0
16.0	23.0
17.0	13.0
18.0	19.0
19.0	17.0
20.0	10.0
21.0	22.0
22.0	17.0
23.0	6.0
24.0	10.0
25.0	8.0
26.0	9.0
27.0	5.0
28.0	8.0
29.0	6.0
30.0	4.0
31.0	7.0
32.0	1.0
33.0	3.0
34.0	5.0
35.0	3.0
36.0	4.0
37.0	3.0
38.0	0.0
39.0	1.0
40.0	2.0
41.0	3.0
42.0	3.0
43.0	1.0
44.0	5.0
45.0	2.0
46.0	1.0
47.0	0.0
48.0	1.0
49.0	1.0
50.0	39.0
