seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
JAJIVV010000026.1	2581	No terminal repeats	3	11	1.0000	NA	2	4.4475	T_virB5	NA
JAJIVV010000103.1	6010	No terminal repeats	10	11	1.0000	NA	1	4.4189	T_virB5	NA
JAJIVV010000057.1	1018	No terminal repeats	2	11	1.0000	NA	1	3.4366	T_virB6	NA
JAJIVV010000054.1	10345	No terminal repeats	14	11	1.0000	NA	0	4.2103	NA	NA
JAJIVV010000030.1	6243	No terminal repeats	8	11	1.0000	NA	0	4.2600	NA	NA
JAJIVV010000079.1	14687	No terminal repeats	13	11	1.0000	NA	1	4.1647	NA	NA
JAJIVV010000001.1	31328	No terminal repeats	41	11	1.0000	NA	11	25.6300	T_virB6;T_virB5;virb4;t4cp2;T_virB1;T_virB10;T_virB9;T_virB6	NA
JAJIVV010000102.1	13710	No terminal repeats	15	11	1.0000	NA	3	11.4351	MOBH;T_virB6;B_traI	NA
JAJIVV010000075.1	24994	No terminal repeats	29	11	1.0000	NA	9	20.2614	T_virB3;virb4;T_virB5;T_virB6;T_virB8;T_virB9;t4cp2	NA
JAJIVV010000007.1	6312	No terminal repeats	8	11	1.0000	NA	0	2.1428	NA	NA
JAJIVV010000058.1	15721	No terminal repeats	17	11	1.0000	NA	3	10.7541	NA	NA
JAJIVV010000070.1	8304	No terminal repeats	12	11	1.0000	NA	1	2.7002	NA	NA
JAJIVV010000074.1	12808	No terminal repeats	15	11	0.9999	NA	3	6.8592	MOBP1;T_virB5	NA
JAJIVV010000040.1	7562	No terminal repeats	9	11	0.9999	NA	1	7.1485	NA	NA
JAJIVV010000028.1	16363	No terminal repeats	20	11	0.9999	NA	7	7.5578	T_virB2;T_virB3;T_virB5;T_virB6;T_virB8;T_virB9;T_virB10	NA
JAJIVV010000062.1	12158	No terminal repeats	10	11	0.9999	NA	0	4.9816	NA	NA
JAJIVV010000090.1	84338	No terminal repeats	95	11	0.9997	NA	6	16.8008	I_traK;I_traI;I_traM;I_traN;traU	NA
JAJIVV010000050.1	75576	No terminal repeats	83	11	0.9997	NA	3	13.6305	I_trbA;I_traW;I_traY	NA
JAJIVV010000023.1	7823	No terminal repeats	8	11	0.9996	NA	2	5.1548	T_virB6;T_virB6	NA
JAJIVV010000017.1	60477	No terminal repeats	52	11	0.9994	NA	0	3.6551	NA	NF033135;NF000272
JAJIVV010000051.1	101849	No terminal repeats	83	11	0.9991	NA	0	1.9514	NA	NF000272
JAJIVV010000034.1	14774	No terminal repeats	17	11	0.9677	NA	0	0.5447	NA	NA
JAJIVV010000032.1	7582	No terminal repeats	5	11	0.9426	NA	0	0.3959	NA	NA
JAJIVV010000093.1	5836	No terminal repeats	5	11	0.9204	NA	0	0.7129	NA	NA
