#Coverage (X)	Coverage
1.0	99.98392153710105
2.0	99.83787549910228
3.0	99.62215612187475
4.0	99.46941072433475
5.0	99.3032666077123
6.0	99.22019454940107
7.0	99.07280863949407
8.0	98.9562397834767
9.0	98.79009566685424
10.0	98.65878821984619
11.0	98.5475788514618
12.0	98.42029102017847
13.0	98.32516011469303
14.0	98.17643433287778
15.0	98.09336227456654
16.0	97.98081303427392
17.0	97.9124795669534
18.0	97.78921135139481
19.0	97.69542031781762
20.0	97.56009325508481
21.0	97.39662888227886
22.0	97.28943912961921
23.0	97.19698796795026
24.0	97.09113808719886
25.0	97.02548436369483
26.0	96.95313128064957
27.0	96.8539807594394
28.0	96.76956882921992
29.0	96.64898035747783
30.0	96.55384945199239
31.0	96.43996033979151
32.0	96.32071173995766
33.0	96.18002518959187
34.0	96.11437146608785
35.0	96.00986145724468
36.0	95.92544952702522
37.0	95.84639708443873
38.0	95.74992630704504
39.0	95.68025296781627
40.0	95.59316129378031
41.0	95.51276897928558
42.0	95.4162982018919
43.0	95.34528499075489
44.0	95.25953318862717
45.0	95.18450036176542
46.0	95.11884663826139
47.0	95.06525176193156
48.0	95.00227778224402
49.0	94.91920572393279
50.0	94.83881340943806
51.0	94.7637805825763
