#Coverage (X)	Coverage
1.0	4.68548502650809
2.0	4.498017863113148
3.0	4.186965658881405
4.0	4.139800353441274
5.0	3.98636385346515
6.0	3.91531738071356
7.0	3.881286717294728
8.0	3.8568085208004845
9.0	3.695013612265356
10.0	3.665162153126033
11.0	3.515904857429419
12.0	3.4997850694941803
13.0	3.3767970578401645
14.0	3.3338109566795424
15.0	3.2478387543582983
16.0	3.2161962076706203
17.0	3.192912069541947
18.0	3.1875388068968675
19.0	3.1463437932846006
20.0	3.128432917801007
21.0	3.0741032621674407
22.0	3.054401299135492
23.0	3.034102306920758
24.0	3.0305201318240336
25.0	3.0096241104265147
26.0	2.9988775851363556
27.0	2.994698380856846
28.0	2.993504322491276
29.0	2.9887280890289816
30.0	2.984548884749472
31.0	2.9767875053732524
32.0	2.972608301093743
33.0	2.9570855423412894
34.0	2.9403687252232658
35.0	2.9403687252232658
36.0	2.9367865501265413
37.0	2.9284281415675366
38.0	2.9152934995462374
39.0	2.899173711610999
40.0	2.899173711610999
41.0	2.899173711610999
42.0	2.899173711610999
43.0	2.899173711610999
44.0	2.8836509528585452
45.0	2.8836509528585452
46.0	2.88185986531019
47.0	2.872307398385601
48.0	2.869322252471676
49.0	2.867531164923321
50.0	2.8627549314610263
51.0	2.829321297224979
