seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
JAJITJ010000026.1	2587	No terminal repeats	3	11	1.0000	NA	2	4.4475	T_virB5	NA
JAJITJ010000057.1	10407	No terminal repeats	14	11	1.0000	NA	0	4.2103	NA	NA
JAJITJ010000001.1	31328	No terminal repeats	41	11	1.0000	NA	11	25.6300	T_virB6;T_virB5;virb4;t4cp2;T_virB1;T_virB10;T_virB9;T_virB6	NA
JAJITJ010000101.1	13735	No terminal repeats	15	11	1.0000	NA	3	11.4351	MOBH;T_virB6;B_traI	NA
JAJITJ010000075.1	30910	No terminal repeats	36	11	1.0000	NA	10	22.1400	T_virB1;T_virB2;T_virB3;virb4;T_virB5;T_virB6;T_virB8;T_virB9;t4cp2	NA
JAJITJ010000006.1	7658	No terminal repeats	11	11	1.0000	NA	0	4.2600	NA	NA
JAJITJ010000111.1	14824	No terminal repeats	13	11	1.0000	NA	1	4.1647	NA	NA
JAJITJ010000069.1	8300	No terminal repeats	12	11	1.0000	NA	1	2.7002	NA	NA
JAJITJ010000039.1	10575	No terminal repeats	10	11	0.9999	NA	1	8.5656	NA	NA
JAJITJ010000004.1	38501	No terminal repeats	53	11	0.9999	NA	11	17.4228	T_virB10;T_virB9;T_virB8;T_virB6;T_virB5;T_virB3;T_virB2;I_traV	NA
JAJITJ010000073.1	12725	No terminal repeats	11	11	0.9999	NA	0	2.1428	NA	NA
JAJITJ010000059.1	12158	No terminal repeats	10	11	0.9999	NA	0	4.9816	NA	NA
JAJITJ010000007.1	7016	No terminal repeats	7	11	0.9999	NA	0	6.7752	NA	NA
JAJITJ010000008.1	159061	No terminal repeats	174	11	0.9998	NA	8	34.4628	I_trbA;I_traW;I_traY;I_traK;I_traI;I_traM;I_traN;traU	NF000272
JAJITJ010000051.1	40066	No terminal repeats	31	11	0.9998	NA	0	6.3270	NA	NA
JAJITJ010000023.1	7823	No terminal repeats	8	11	0.9996	NA	2	5.1548	T_virB6;T_virB6	NA
JAJITJ010000074.1	62885	No terminal repeats	62	11	0.9990	NA	0	0.6677	NA	NA
JAJITJ010000015.1	22430	No terminal repeats	16	11	0.9984	NA	0	3.7441	NA	NA
JAJITJ010000065.1	7130	No terminal repeats	5	11	0.9962	NA	0	1.3109	NA	NA
JAJITJ010000016.1	16764	No terminal repeats	16	11	0.9899	NA	0	0.3959	NA	NA
JAJITJ010000063.1	15588	No terminal repeats	15	11	0.9785	NA	0	3.2741	NA	NA
JAJITJ010000035.1	11505	No terminal repeats	9	11	0.9742	NA	1	1.5582	NA	NA
JAJITJ010000096.1	11619	No terminal repeats	9	11	0.9430	NA	0	0.8983	NA	NA
