#Mapping quality	mapping quality
1.0	99.0
2.0	25.0
3.0	108.0
4.0	138.0
6.0	14.0
7.0	28.0
8.0	26.0
9.0	149.0
10.0	74.0
11.0	39.0
12.0	104.0
13.0	69.0
14.0	82.0
15.0	54.0
16.0	33.0
17.0	64.0
18.0	261.0
19.0	146.0
20.0	170.0
21.0	80.0
22.0	62.0
23.0	76.0
27.0	1.0
28.0	68.0
29.0	15.0
30.0	20.0
32.0	15.0
33.0	80.0
34.0	56.0
35.0	98.0
36.0	148.0
37.0	170.0
38.0	709.0
39.0	656.0
40.0	445.0
41.0	61.0
42.0	51.0
43.0	48.0
44.0	104.0
45.0	117.0
46.0	90.0
47.0	57.0
48.0	46.0
49.0	57.0
50.0	63.0
51.0	116.0
52.0	108.0
53.0	111.0
54.0	132.0
55.0	198.0
56.0	276.0
57.0	332.0
58.0	1046.0
59.0	8754.0
60.0	57631.0
