#Position (bp)	Coverage	Std
94.0	171.37967914438502	70.61521097745423
281.0	260.09090909090907	13.04947393780598
468.0	240.05347593582889	9.2629444043152
655.0	202.25133689839572	15.57884895489261
842.0	197.70053475935828	17.989747525820977
1029.0	267.4866310160428	72.75322732059038
1216.0	616.0320855614973	404.2941297069598
1403.0	237.2139037433155	15.176501678863774
1590.0	312.3368983957219	26.678618088304486
1777.0	326.60427807486633	25.740269954415748
1964.0	289.3850267379679	17.326218888221565
2151.0	268.09090909090907	11.408318571127138
2338.0	248.7433155080214	20.778176539842413
2525.0	249.06951871657753	12.663687612903992
2712.0	259.63101604278074	20.820598603383488
2899.0	240.08021390374333	14.747609250642249
3086.0	365.10695187165777	200.3830156005655
3273.0	1078.2139037433155	91.75216560413189
3460.0	879.1657754010695	250.89033972404135
3647.0	254.79144385026737	22.059835983895265
3834.0	244.75401069518716	22.230922242302846
4021.0	239.3903743315508	17.666851645350544
4208.0	249.00534759358288	35.16378788767827
4395.0	237.8716577540107	22.223584331398037
4582.0	235.9090909090909	21.54140398306246
4769.0	247.3903743315508	15.697337898901926
4956.0	243.13368983957218	9.288311325140212
5143.0	243.59893048128342	18.59302381968459
5330.0	236.2673796791444	15.479847171377255
5517.0	232.6149732620321	20.35658061491549
5704.0	220.2941176470588	19.902570172348085
5891.0	215.7058823529412	22.214558987655895
6078.0	243.11764705882354	18.940238127353567
6265.0	245.77540106951872	23.536409387264715
6452.0	235.96791443850267	22.631552438474074
6639.0	250.75401069518716	22.362353773924653
6826.0	262.9572192513369	23.275035396907118
7013.0	280.05882352941177	16.93697028889308
7200.0	281.9251336898396	29.10004869797653
7387.0	274.3368983957219	17.55145224577804
7574.0	225.52941176470588	22.574771778594307
7761.0	246.27807486631016	14.629835459139624
7948.0	185.9090909090909	28.04579906010495
8135.0	136.1818181818182	29.023777823439623
8322.0	209.1711229946524	14.071627311265885
8509.0	214.98930481283423	22.089632673671858
8696.0	203.47058823529412	17.82745584255319
8883.0	228.28877005347593	17.840349628477394
9070.0	251.20320855614975	13.394467690277246
9257.0	244.524064171123	21.353154784512217
9444.0	307.02139037433153	129.63626613462068
9631.0	495.85561497326205	141.53499595581974
9818.0	257.6898395721925	108.19034029256181
10005.0	20.764705882352942	21.270476136659795
10192.0	4.278074866310161	1.6286210170301436
