#Insert size (bp)	insert size
4.0	1.0
8.0	1.0
9.0	3.0
19.0	73.0
20.0	49.0
21.0	11.0
22.0	9.0
23.0	1.0
26.0	3.0
27.0	8.0
28.0	4.0
29.0	5.0
30.0	6.0
31.0	8.0
32.0	9.0
33.0	9.0
34.0	15.0
35.0	11.0
36.0	10.0
37.0	3.0
38.0	5.0
39.0	7.0
40.0	9.0
41.0	12.0
42.0	12.0
43.0	6.0
44.0	18.0
45.0	16.0
46.0	22.0
47.0	3.0
48.0	14.0
49.0	11.0
50.0	25.0
51.0	15.0
52.0	16.0
53.0	15.0
54.0	16.0
55.0	29.0
56.0	11.0
57.0	18.0
58.0	20.0
59.0	12.0
60.0	9.0
61.0	16.0
62.0	19.0
63.0	22.0
64.0	23.0
65.0	23.0
66.0	20.0
67.0	16.0
68.0	14.0
69.0	10.0
70.0	12.0
71.0	17.0
72.0	23.0
73.0	23.0
74.0	20.0
75.0	16.0
76.0	23.0
77.0	47.0
78.0	15.0
79.0	14.0
80.0	15.0
81.0	33.0
82.0	34.0
83.0	28.0
84.0	24.0
85.0	16.0
86.0	25.0
87.0	19.0
88.0	22.0
89.0	13.0
90.0	18.0
91.0	16.0
92.0	22.0
93.0	28.0
94.0	27.0
95.0	24.0
96.0	26.0
97.0	32.0
98.0	22.0
99.0	18.0
100.0	21.0
101.0	19.0
102.0	26.0
103.0	22.0
104.0	41.0
105.0	35.0
106.0	37.0
107.0	26.0
108.0	21.0
109.0	24.0
110.0	27.0
111.0	21.0
112.0	35.0
113.0	36.0
114.0	38.0
115.0	40.0
116.0	26.0
117.0	46.0
118.0	24.0
119.0	26.0
120.0	39.0
121.0	28.0
122.0	46.0
123.0	37.0
124.0	27.0
125.0	37.0
126.0	65.0
127.0	36.0
128.0	41.0
129.0	28.0
130.0	34.0
131.0	32.0
132.0	39.0
133.0	35.0
134.0	51.0
135.0	53.0
136.0	39.0
137.0	34.0
138.0	37.0
139.0	43.0
140.0	30.0
141.0	36.0
142.0	34.0
143.0	37.0
144.0	56.0
145.0	53.0
146.0	46.0
147.0	56.0
148.0	61.0
149.0	56.0
150.0	46.0
151.0	40.0
152.0	45.0
153.0	37.0
154.0	46.0
155.0	56.0
156.0	49.0
157.0	64.0
158.0	56.0
