#Duplication rate	Coverage
1.0	12986.0
2.0	6324.0
3.0	3289.0
4.0	1873.0
5.0	1185.0
6.0	729.0
7.0	522.0
8.0	365.0
9.0	258.0
10.0	159.0
11.0	128.0
12.0	103.0
13.0	76.0
14.0	43.0
15.0	38.0
16.0	32.0
17.0	31.0
18.0	24.0
19.0	17.0
20.0	13.0
21.0	8.0
22.0	6.0
23.0	8.0
24.0	5.0
25.0	9.0
26.0	4.0
27.0	5.0
28.0	6.0
29.0	2.0
30.0	1.0
31.0	2.0
32.0	2.0
33.0	0.0
34.0	3.0
35.0	2.0
36.0	1.0
37.0	1.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	1.0
43.0	2.0
44.0	0.0
45.0	1.0
46.0	2.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	16.0
