#Mapping quality	mapping quality
1.0	791.0
2.0	59.0
3.0	51.0
4.0	74.0
6.0	69.0
7.0	24.0
8.0	8.0
10.0	66.0
11.0	22.0
14.0	22.0
16.0	45.0
17.0	7.0
18.0	51.0
19.0	81.0
20.0	25.0
21.0	5.0
22.0	23.0
23.0	37.0
24.0	29.0
25.0	12.0
26.0	15.0
27.0	43.0
28.0	25.0
29.0	98.0
30.0	5.0
31.0	107.0
32.0	95.0
33.0	92.0
34.0	61.0
35.0	77.0
36.0	150.0
37.0	168.0
38.0	70.0
39.0	69.0
40.0	106.0
41.0	23.0
42.0	21.0
43.0	27.0
44.0	26.0
45.0	25.0
46.0	20.0
47.0	39.0
48.0	49.0
49.0	47.0
50.0	48.0
51.0	30.0
52.0	37.0
53.0	66.0
54.0	74.0
55.0	270.0
56.0	322.0
57.0	464.0
58.0	832.0
59.0	3682.0
60.0	157114.0
