GCA_028599425.1	Tu-10
GCA_028598835.1	Tu-08
GCA_028598895.1	Tu-06
GCA_028599415.1	Tu-11
GCA_020879635.1	Xcv DC 93-9
GCA_020879415.1	FB570
GCA_020880315.1	Xcv DC 93-8
GCA_020879485.1	E3
GCA_020879655.1	Xcv DC 97 P1A
GCA_020880015.1	89-10
GCA_020880045.1	87-47
GCA_020880135.1	87-21
GCA_020880035.1	86-46
GCA_020880115.1	86-22
GCA_020880165.1	86-2
GCA_020880835.1	Xcv DC 93-7
GCA_020880375.1	85-16
GCA_020880435.1	75-3
GCA_020880415.1	ATCC 11633
GCA_020879745.1	Xcv DC 96-3
GCA_020879155.1	Xv 79
GCA_020879265.1	Xv 72
GCA_020880275.1	Ps-1
GCA_020880395.1	Xcv Sspep 92
GCA_020880345.1	71-21
GCA_020880635.1	Xcv DC 97 P2A
GCA_020880575.1	Xcv DC 96-2
GCA_020880895.1	Xcv DC 97 P3A
GCA_020880855.1	DC99P1A1
GCA_020880235.1	Xv157
GCA_020879135.1	Ps-7
GCA_020879795.1	DC99P1B1
GCA_020879775.1	Xcv DC 96-1
GCA_020879825.1	Xcv DC 93-6
GCA_020879815.1	Xcv DC 98 P2A
GCA_020879845.1	Xcv DC 96-5
GCA_020879875.1	Xcv DC 96-4
#GCA_003136175.1	NI38 # This strain has undergone extensive recombination, so exclude it from the tree
GCA_000802345.1	83M
GCA_000802325.1	66b
GCA_001691375.1	LMG 933
GCA_001691345.1	LMG 909
GCA_001691325.1	LMG 905
GCA_001691315.1	LMG 667
GCA_001401555.1	LMG 27970
GCA_001908795.1	LMG 930
GCA_000009165.1	85-10
GCA_030345955.2	X31
GCA_030345985.2	X22
GCA_030345975.2	X13
GCA_033548515.1	VTM17
GCA_033548465.1	VTM16
GCA_033548475.1	VTM15
GCA_033548575.1	VTM12
GCA_033548535.1	VTM10
GCA_033548565.1	VTM4
GCA_040202735.2	WHRI 8301

### From NCBI search for Xanthomonas euvesicatoria pv. euvesicatoria on 23rd August 2025
GCA_020879135.1	     Ps-7
GCA_020879155.1	     Xv 79
GCA_020879265.1	     Xv 72
GCA_020879415.1	     FB570
GCA_020879485.1	     E3
GCA_020879635.1	     Xcv DC 93-9
GCA_020879655.1	     Xcv DC 97 P1A
GCA_020879745.1	     Xcv DC 96-3
GCA_020879775.1	     Xcv DC 96-1
GCA_020879795.1	     DC99P1B1
GCA_020879815.1	     Xcv DC 98 P2A
GCA_020879825.1	     Xcv DC 93-6
GCA_020879845.1	     Xcv DC 96-5
GCA_020879875.1	     Xcv DC 96-4
GCA_020880015.1	     89-10
GCA_020880035.1	     86-46
GCA_020880045.1	     87-47
GCA_020880115.1	     86-22
GCA_020880135.1	     87-21
GCA_020880165.1	     86-2
GCA_020880235.1	     Xv157
GCA_020880275.1	     Ps-1
GCA_020880315.1	     Xcv DC 93-8
GCA_020880345.1	     71-21
GCA_020880375.1	     85-16
GCA_020880395.1	     Xcv Sspep 92
GCA_020880415.1	     ATCC 11633
GCA_020880435.1	     75-3
GCA_020880575.1	     Xcv DC 96-2
GCA_020880635.1	     Xcv DC 97 P2A
GCA_020880835.1	     Xcv DC 93-7
GCA_020880855.1	     DC99P1A1
GCA_020880895.1	     Xcv DC 97 P3A
GCA_040091395.1	     XVP26
GCA_040091415.1	     X82-8P_C6
GCA_040091435.1	     X82-8P_C5
GCA_040091455.1	     X82-8P_C4
GCA_040091475.1	     X82-8P_C3
GCA_040091495.1	     X82-8P_C2
GCA_040091515.1	     X82-8P_C1
GCA_040091535.1	     X82-8P
GCA_045763815.1	     Tabasco1
GCA_045763835.1	     90-13
GCA_045763855.1	     87-7
GCA_045763865.1	     89-16
GCA_045763895.1	     87-13
GCA_045763915.1	     80-5
#GCA_045763935.1	     82-8 # Very long branch
GCA_045763955.1	     72-7
GCA_045763975.1	     71-21
GCA_045764005.1	     70-7
GCA_045764015.1	     69-1
GCA_045764025.1	     69-24
GCA_048855765.1	     65XENP3
GCA_048855785.1	     65XENP1
GCA_048855825.1	     65XENP2
GCA_048855905.1	     20HP1615
GCA_048855925.1	     20HP1614
GCA_048855965.1	     20HP1613
GCA_048855985.1	     20HP1608-2
GCA_048856005.1	     20HP1609-2
GCA_048856105.1	     20HP1608-1
GCA_048856135.1	     20HP1597
#GCA_048856165.1	     20HP1595 # Very long branch
GCA_048856265.1	     20HP1594
GCA_048856285.1	     62XEKK5
GCA_048856305.1	     20HP1591
GCA_048856325.1	     XCVCP-C-51
GCA_048856365.1	     XCVCP-C-43
GCA_048856465.1	     XCVKK-C-4
GCA_048856485.1	     XCVKK-C-5
GCA_048856505.1	     XCVKK-C-3
GCA_048856545.1	     XCVKK-C-2
GCA_048856565.1	     XCVKK-C-1
GCA_048856605.1	     DOA-2987
GCA_048856625.1	     DOA-2990
GCA_048856645.1	     DOA-2989
#GCA_048856685.1	     DOA-2985 # Very long branch
GCA_048856725.1	     DOA-2983
GCA_048856805.1	     DOA-1721
GCA_048856825.1	     DOA-2036
GCA_048856865.1	     DOA-1726
#GCA_048856885.1	     DOA-1686 # outlier!

### Additional strains
GCA_042448555.1	Xe173

### Outgroup strains
#GCA_019192985.1	NCPPB 1756
#GCA_019201325.1	NCPPB 2932
#GCA_001691385.1	LMG 918

### From Parajuli et al. (2024)
GCA_040055815.1	XVP-102
GCA_040055805.1	XVP-104
GCA_040055785.1	XVP-112
GCA_040057485.1	XVP-128
GCA_040057455.1	XVP-139
GCA_040057445.1	XVP-155
GCA_040057405.1	XVP-156
GCA_040057425.1	XVP-157
GCA_040057365.1	XVP-158
GCA_040057375.1	XVP-160
GCA_040057325.1	XVP-161
GCA_040057345.1	XVP-162
GCA_040057305.1	XVP-163
GCA_040057285.1	XVP-164
GCA_040057265.1	XVP-165
GCA_040057245.1	XVP-166
GCA_040057205.1	XVP-168
GCA_040057225.1	XVP-170
GCA_040057185.1	XVP-174
GCA_040057165.1	XVP-178
GCA_040057145.1	XVP-179
GCA_040057085.1	XVP-181
GCA_040057125.1	XVP-183
GCA_040057105.1	XVP-187
GCA_040057065.1	XVP-189
GCA_040057025.1	XVP-192
GCA_040057045.1	XVP-194
GCA_040057005.1	XVP-195
GCA_040056945.1	XVP-205
GCA_040056985.1	XVP-207
GCA_040056965.1	XVP-216
GCA_040056925.1	XVP-220
GCA_040056825.1	XVP-222
GCA_040056905.1	XVP-224
GCA_040056845.1	XVP-226
GCA_040056885.1	XVP-228
GCA_040056865.1	XVP-232
GCA_040056755.1	XVP-234
GCA_040056785.1	XVP-235
GCA_040056725.1	XVP-238
GCA_040056745.1	XVP-240
GCA_040056735.1	XVP-242
GCA_040056705.1	XVP-245
GCA_040056675.1	XVP-25
GCA_040056655.1	XVP-251
GCA_040056645.1	XVP-253
GCA_040056625.1	XVP-255
GCA_040056605.1	XVP-257
GCA_040056575.1	XVP-259
GCA_040056515.1	XVP-262
GCA_040056555.1	XVP-265
GCA_040056545.1	XVP-267
GCA_040056505.1	XVP-270
GCA_040056485.1	XVP-271
GCA_040056435.1	XVP-272
GCA_040056415.1	XVP-273
GCA_040056425.1	XVP-275
GCA_040056405.1	XVP-278
GCA_040056385.1	XVP-281
GCA_040056345.1	XVP-285
GCA_040056325.1	XVP-287
GCA_040056305.1	XVP-290
GCA_040056335.1	XVP-295
GCA_040056285.1	XVP-304
GCA_040056265.1	XVP-306
GCA_040056215.1	XVP-310
GCA_040056245.1	XVP-312
GCA_040056195.1	XVP-314
GCA_040056165.1	XVP-315
GCA_040056185.1	XVP-318
GCA_040056125.1	XVP-320
GCA_040056135.1	XVP-40
GCA_040056075.1	XVP-42
GCA_040056105.1	XVP-51
GCA_040056065.1	XVP-56
GCA_040056045.1	XVP-66
GCA_040055995.1	XVP-71
