JBHJCA010000034.1_8 # 5776 # 6315 # 1 # ID=34_8;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.713	GENOMAD.218216.PC	3.149E-42	154	0
JBHJCA010000042.1_10 # 5695 # 8307 # -1 # ID=42_10;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.611	GENOMAD.108687.PC	9.347E-100	350	0
JBHJCA010000047.1_15 # 13055 # 13369 # -1 # ID=47_15;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.613	GENOMAD.027931.PP	2.845E-26	104	0
JBHJCA010000052.1_7 # 3779 # 3907 # -1 # ID=52_7;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.574	GENOMAD.112093.VV	2.595E-14	66	0
JBHJCA010000055.1_9 # 6808 # 7182 # 1 # ID=55_9;partial=01;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.571	GENOMAD.137753.PC	3.392E-08	53	0
JBHJCA010000059.1_8 # 6177 # 6527 # -1 # ID=59_8;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;genetic_code=11;gc_cont=0.593	GENOMAD.172079.PC	7.529E-04	40	0
JBHJCA010000001.1_35 # 43237 # 43644 # -1 # ID=1_35;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;genetic_code=11;gc_cont=0.725	GENOMAD.083954.CP	1.332E-14	72	0
JBHJCA010000001.1_99 # 116484 # 117431 # 1 # ID=1_99;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;genetic_code=11;gc_cont=0.660	GENOMAD.101807.CP	1.683E-42	161	0
JBHJCA010000001.1_131 # 156194 # 157258 # -1 # ID=1_131;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;genetic_code=11;gc_cont=0.687	GENOMAD.176977.PC	7.999E-05	47	0
JBHJCA010000001.1_163 # 194493 # 196565 # 1 # ID=1_163;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.648	GENOMAD.133882.CP	8.010E-195	622	0
JBHJCA010000001.1_195 # 230087 # 231217 # -1 # ID=1_195;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.616	GENOMAD.005978.CC	1.698E-08	59	1246
JBHJCA010000001.1_323 # 374470 # 374904 # -1 # ID=1_323;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.680	GENOMAD.142316.CP	5.961E-19	85	0
JBHJCA010000001.1_355 # 428867 # 429397 # -1 # ID=1_355;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;genetic_code=11;gc_cont=0.659	GENOMAD.128882.CP	1.068E-14	74	0
JBHJCA010000001.1_387 # 470813 # 471439 # -1 # ID=1_387;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.646	GENOMAD.161205.CP	5.824E-12	67	0
