# packages in environment at /data/djs217/miniconda3/envs/qualimap_env:
#
# Name                    Version                   Build  Channel
_libgcc_mutex             0.1                 conda_forge    conda-forge
_openmp_mutex             4.5                       2_gnu    conda-forge
_r-mutex                  1.0.1               anacondar_1    conda-forge
alsa-lib                  1.2.14               hb9d3cd8_0    conda-forge
argcomplete               3.6.2              pyhd8ed1ab_0    conda-forge
binutils_impl_linux-64    2.44                 h4bf12b8_1    conda-forge
bioconductor-biobase      2.66.0            r44h3df3fcb_0    bioconda
bioconductor-biocgenerics 0.52.0            r44hdfd78af_3    bioconda
bioconductor-biocio       1.16.0            r44hdfd78af_0    bioconda
bioconductor-biocparallel 1.40.0            r44he5774e6_1    bioconda
bioconductor-biostrings   2.74.0            r44h3df3fcb_1    bioconda
bioconductor-data-packages 20250625             hdfd78af_0    bioconda
bioconductor-delayedarray 0.32.0            r44h3df3fcb_1    bioconda
bioconductor-genomeinfodb 1.42.0            r44hdfd78af_2    bioconda
bioconductor-genomeinfodbdata 1.2.13            r44hdfd78af_0    bioconda
bioconductor-genomicalignments 1.42.0            r44h3df3fcb_1    bioconda
bioconductor-genomicranges 1.58.0            r44h3df3fcb_2    bioconda
bioconductor-iranges      2.40.0            r44h3df3fcb_2    bioconda
bioconductor-matrixgenerics 1.18.0            r44hdfd78af_0    bioconda
bioconductor-noiseq       2.50.0            r44hdfd78af_0    bioconda
bioconductor-rhtslib      3.2.0             r44h15a9599_2    bioconda
bioconductor-rsamtools    2.22.0            r44h77050f0_1    bioconda
bioconductor-rtracklayer  1.66.0            r44h15a9599_1    bioconda
bioconductor-s4arrays     1.6.0             r44h3df3fcb_1    bioconda
bioconductor-s4vectors    0.44.0            r44h3df3fcb_2    bioconda
bioconductor-sparsearray  1.6.0             r44h3df3fcb_1    bioconda
bioconductor-summarizedexperiment 1.36.0            r44hdfd78af_0    bioconda
bioconductor-ucsc.utils   1.2.0             r44h9ee0642_1    bioconda
bioconductor-xvector      0.46.0            r44h15a9599_2    bioconda
bioconductor-zlibbioc     1.52.0            r44h3df3fcb_2    bioconda
bwidget                   1.10.1               ha770c72_1    conda-forge
bzip2                     1.0.8                h4bc722e_7    conda-forge
c-ares                    1.34.5               hb9d3cd8_0    conda-forge
ca-certificates           2025.8.3             hbd8a1cb_0    conda-forge
cairo                     1.18.4               h3394656_0    conda-forge
curl                      8.14.1               h332b0f4_0    conda-forge
font-ttf-dejavu-sans-mono 2.37                 hab24e00_0    conda-forge
font-ttf-inconsolata      3.000                h77eed37_0    conda-forge
font-ttf-source-code-pro  2.038                h77eed37_0    conda-forge
font-ttf-ubuntu           0.83                 h77eed37_3    conda-forge
fontconfig                2.15.0               h7e30c49_1    conda-forge
fonts-conda-ecosystem     1                             0    conda-forge
fonts-conda-forge         1                             0    conda-forge
freetype                  2.13.3               ha770c72_1    conda-forge
fribidi                   1.0.10               h36c2ea0_0    conda-forge
gcc_impl_linux-64         15.1.0               h4393ad2_4    conda-forge
gfortran_impl_linux-64    15.1.0               h3b9cdf2_4    conda-forge
giflib                    5.2.2                hd590300_0    conda-forge
graphite2                 1.3.14               hecca717_2    conda-forge
gsl                       2.7                  he838d99_0    conda-forge
gxx_impl_linux-64         15.1.0               h6a1bac1_4    conda-forge
harfbuzz                  11.2.1               h3beb420_0    conda-forge
htslib                    1.22.1               h566b1c6_0    bioconda
