#Mapping quality	mapping quality
1.0	1435.0
2.0	69.0
3.0	1074.0
4.0	226.0
5.0	134.0
6.0	134.0
7.0	139.0
8.0	237.0
9.0	296.0
10.0	424.0
11.0	238.0
12.0	323.0
13.0	242.0
14.0	297.0
15.0	318.0
16.0	199.0
17.0	385.0
18.0	293.0
19.0	213.0
20.0	388.0
21.0	689.0
22.0	391.0
23.0	398.0
24.0	586.0
25.0	626.0
26.0	788.0
27.0	761.0
28.0	888.0
29.0	1329.0
30.0	1436.0
31.0	1688.0
32.0	1451.0
33.0	1482.0
34.0	1231.0
35.0	1269.0
36.0	1959.0
37.0	3450.0
38.0	4094.0
39.0	6226.0
40.0	16704.0
41.0	1008.0
42.0	1146.0
43.0	1124.0
44.0	1501.0
45.0	1295.0
46.0	1431.0
47.0	1432.0
48.0	1605.0
49.0	1653.0
50.0	1975.0
51.0	2344.0
52.0	2370.0
53.0	2911.0
54.0	3354.0
55.0	4199.0
56.0	5407.0
57.0	9807.0
58.0	41838.0
59.0	752087.0
60.0	4312045.0
