#Mapping quality	mapping quality
7.0	23.0
8.0	16.0
9.0	56.0
10.0	91.0
11.0	148.0
12.0	408.0
13.0	336.0
14.0	232.0
15.0	339.0
16.0	165.0
17.0	117.0
18.0	140.0
19.0	110.0
20.0	98.0
21.0	142.0
22.0	189.0
23.0	95.0
24.0	29.0
25.0	19.0
26.0	31.0
27.0	65.0
28.0	111.0
29.0	192.0
30.0	338.0
31.0	166.0
32.0	44.0
33.0	14.0
34.0	35.0
35.0	87.0
36.0	147.0
37.0	58.0
38.0	205.0
39.0	397.0
40.0	906.0
41.0	23.0
42.0	23.0
43.0	21.0
44.0	21.0
45.0	15.0
46.0	18.0
47.0	27.0
48.0	24.0
49.0	54.0
50.0	61.0
51.0	85.0
52.0	181.0
53.0	110.0
54.0	101.0
55.0	134.0
56.0	56.0
57.0	308.0
58.0	695.0
59.0	5131.0
60.0	61689.0
