#Mapping quality	mapping quality
7.0	18.0
8.0	35.0
9.0	53.0
10.0	81.0
11.0	53.0
12.0	134.0
13.0	353.0
14.0	287.0
15.0	183.0
16.0	190.0
17.0	119.0
18.0	165.0
19.0	130.0
20.0	259.0
21.0	228.0
22.0	135.0
23.0	223.0
24.0	287.0
25.0	172.0
26.0	126.0
27.0	155.0
28.0	73.0
29.0	67.0
30.0	119.0
31.0	122.0
32.0	45.0
33.0	25.0
34.0	21.0
35.0	34.0
36.0	64.0
37.0	37.0
38.0	223.0
39.0	751.0
40.0	571.0
41.0	18.0
42.0	18.0
43.0	22.0
44.0	12.0
45.0	22.0
46.0	32.0
47.0	7.0
48.0	24.0
49.0	64.0
50.0	44.0
51.0	55.0
52.0	145.0
53.0	181.0
54.0	117.0
55.0	131.0
56.0	183.0
57.0	355.0
58.0	1012.0
59.0	4733.0
60.0	61638.0
