# packages in environment at /data/djs217/miniconda3/envs/genomad_env:
#
# Name                    Version                   Build  Channel
_libgcc_mutex             0.1                 conda_forge    conda-forge
_openmp_mutex             4.5                       2_gnu    conda-forge
_x86_64-microarch-level   4                     2_icelake    conda-forge
absl-py                   2.3.1              pyhd8ed1ab_0    conda-forge
aragorn                   1.2.41               h7b50bb2_5    bioconda
archspec                  0.2.5              pyhd8ed1ab_0    conda-forge
aria2                     1.37.0               hbc8128a_2    conda-forge
astunparse                1.6.3              pyhd8ed1ab_3    conda-forge
brotli-python             1.2.0           py312h67db365_0    conda-forge
bzip2                     1.0.8                hda65f42_8    conda-forge
c-ares                    1.34.5               hb9d3cd8_0    conda-forge
ca-certificates           2025.11.12           hbd8a1cb_0    conda-forge
cached-property           1.5.2                hd8ed1ab_1    conda-forge
cached_property           1.5.2              pyha770c72_1    conda-forge
certifi                   2025.11.12         pyhd8ed1ab_0    conda-forge
cffi                      2.0.0           py312h460c074_1    conda-forge
charset-normalizer        3.4.4              pyhd8ed1ab_0    conda-forge
click                     8.3.0              pyh707e725_0    conda-forge
flatbuffers               25.2.10              hb7832b1_0    conda-forge
gast                      0.6.0              pyhd8ed1ab_0    conda-forge
gawk                      5.3.1                hcd3d067_0    conda-forge
genomad                   1.11.2             pyhdfd78af_0    bioconda
giflib                    5.2.2                hd590300_0    conda-forge
gmp                       6.3.0                hac33072_2    conda-forge
google-pasta              0.2.0              pyhd8ed1ab_2    conda-forge
grpcio                    1.73.1          py312h6f3464c_1    conda-forge
h2                        4.3.0              pyhcf101f3_0    conda-forge
h5py                      3.15.1          nompi_py312ha4f8f14_100    conda-forge
hdf5                      1.14.6          nompi_h6e4c0c1_103    conda-forge
hpack                     4.1.0              pyhd8ed1ab_0    conda-forge
hyperframe                6.1.0              pyhd8ed1ab_0    conda-forge
icu                       75.1                 he02047a_0    conda-forge
idna                      3.11               pyhd8ed1ab_0    conda-forge
importlib-metadata        8.7.0              pyhe01879c_1    conda-forge
joblib                    1.5.2              pyhd8ed1ab_0    conda-forge
keras                     3.12.0             pyh753f3f9_0    conda-forge
keyutils                  1.6.3                hb9d3cd8_0    conda-forge
krb5                      1.21.3               h659f571_0    conda-forge
ld_impl_linux-64          2.44                 h1aa0949_4    conda-forge
libabseil                 20250512.1      cxx17_hba17884_0    conda-forge
libaec                    1.1.4                h3f801dc_0    conda-forge
libasprintf               0.25.1               h3f43e3d_1    conda-forge
libblas                   3.9.0           38_h4a7cf45_openblas    conda-forge
libcblas                  3.9.0           38_h0358290_openblas    conda-forge
libcurl                   8.17.0               h4e3cde8_0    conda-forge
libedit                   3.1.20250104    pl5321h7949ede_0    conda-forge
libev                     4.33                 hd590300_2    conda-forge
libexpat                  2.7.1                hecca717_0    conda-forge
libffi                    3.5.2                h9ec8514_0    conda-forge
libgcc                    15.2.0               h767d61c_7    conda-forge
libgcc-ng                 15.2.0               h69a702a_7    conda-forge
libgettextpo              0.25.1               h3f43e3d_1    conda-forge
libgfortran               15.2.0               h69a702a_7    conda-forge
libgfortran5              15.2.0               hcd61629_7    conda-forge
libgomp                   15.2.0               h767d61c_7    conda-forge
libgrpc                   1.73.1               h3288cfb_1    conda-forge
libiconv                  1.18                 h3b78370_2    conda-forge
libjpeg-turbo             3.1.2                hb03c661_0    conda-forge
liblapack                 3.9.0           38_h47877c9_openblas    conda-forge
