seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
JSZH01000166.1	8493	No terminal repeats	8	11	1.0000	NA	1	5.7342	NA	NA
JSZH01000105.1	14259	No terminal repeats	16	11	1.0000	NA	3	11.4351	MOBH;T_virB6;B_traI	NA
JSZH01000191.1	6515	No terminal repeats	10	11	1.0000	NA	1	4.3583	I_traV	NA
JSZH01000039.1	24912	No terminal repeats	24	11	0.9999	NA	9	11.9431	T_virB2;T_virB3;T_virB5;T_virB6;T_virB8;T_virB9;T_virB10	NA
JSZH01000199.1	5904	No terminal repeats	13	11	0.9999	NA	0	1.4703	NA	NA
JSZH01000172.1	8058	No terminal repeats	8	11	0.9999	NA	3	6.8731	T_virB6;T_virB6;T_virB6	NA
JSZH01000246.1	2637	No terminal repeats	6	11	0.9999	NA	1	2.5917	NA	NA
JSZH01000089.1	25049	No terminal repeats	22	11	0.9999	NA	1	13.7713	NA	NA
JSZH01000123.1	12361	No terminal repeats	11	11	0.9999	NA	0	4.9816	NA	NA
JSZH01000110.1	13721	No terminal repeats	11	11	0.9999	NA	2	6.8956	T_virB5	NA
JSZH01000062.1	20158	No terminal repeats	18	11	0.9999	NA	0	2.6184	NA	NA
JSZH01000203.1	5423	No terminal repeats	7	11	0.9999	NA	0	2.1694	B_traH	NA
JSZH01000192.1	6342	No terminal repeats	8	11	0.9999	NA	0	2.5488	NA	NA
JSZH01000162.1	20726	No terminal repeats	16	11	0.9996	NA	0	0.7809	NA	NA
JSZH01000070.1	28810	No terminal repeats	25	11	0.9996	NA	0	2.6364	NA	NF000272
JSZH01000014.1	55007	No terminal repeats	35	11	0.9996	NA	0	6.2107	NA	NF000272
JSZH01000078.1	27616	No terminal repeats	21	11	0.9996	NA	0	3.3515	NA	NA
JSZH01000228.1	5677	No terminal repeats	6	11	0.9992	NA	0	1.3109	NA	NA
JSZH01000124.1	18925	No terminal repeats	16	11	0.9991	NA	0	2.4283	NA	NF033135
JSZH01000223.1	4443	No terminal repeats	5	11	0.9986	NA	0	2.8175	NA	NA
JSZH01000042.1	39433	No terminal repeats	30	11	0.9981	NA	0	4.6087	NA	NA
JSZH01000212.1	4892	No terminal repeats	5	11	0.9977	NA	0	0.9239	NA	NA
JSZH01000177.1	8650	No terminal repeats	10	11	0.9970	NA	0	2.3223	NA	NA
JSZH01000135.1	11550	No terminal repeats	12	11	0.9960	NA	0	1.6112	NA	NA
JSZH01000107.1	14794	No terminal repeats	15	11	0.9959	NA	0	1.2774	NA	NA
JSZH01000072.1	17820	No terminal repeats	16	11	0.9951	NA	1	1.2793	NA	NA
JSZH01000131.1	15282	No terminal repeats	11	11	0.9948	NA	0	1.6581	NA	NA
JSZH01000237.1	3271	No terminal repeats	3	11	0.9922	NA	0	0.7327	NA	NA
JSZH01000054.1	23136	No terminal repeats	23	11	0.9917	NA	0	0.3959	NA	NA
JSZH01000125.1	12329	No terminal repeats	7	11	0.9850	NA	0	2.0940	NA	NA
JSZH01000143.1	10839	No terminal repeats	10	11	0.9848	NA	0	2.1197	NA	NA
JSZH01000211.1	8198	No terminal repeats	3	11	0.9655	NA	0	1.1474	NA	NA
JSZH01000224.1	11519	No terminal repeats	5	11	0.9490	NA	0	1.5299	NA	NA
JSZH01000215.1	11359	No terminal repeats	11	11	0.9407	NA	0	0.9229	NA	NA
JSZH01000121.1	23807	No terminal repeats	25	11	0.9397	NA	0	1.2166	NA	NF033105
JSZH01000219.1	10154	No terminal repeats	11	11	0.9264	NA	0	1.1401	NA	NF000373
JSZH01000056.1	24460	No terminal repeats	14	11	0.9157	NA	0	2.4554	NA	NA
JSZH01000085.1	24768	No terminal repeats	25	11	0.8979	NA	1	0.5425	NA	NA
JSZH01000047.1	23609	No terminal repeats	15	11	0.8634	NA	0	0.1266	NA	NA
JSZH01000221.1	4384	No terminal repeats	5	11	0.8445	NA	0	1.2251	NA	NA
JSZH01000216.1	5743	No terminal repeats	6	11	0.8255	NA	0	0.8701	NA	NA
JSZH01000019.1	36255	No terminal repeats	25	11	0.7517	NA	0	0.9635	NA	NF012174
