#Coverage	Number of genomic locations
0.0	308.0
1.0	1.0
2.0	6.0
4.0	1.0
6.0	6.0
7.0	17.0
8.0	82.0
9.0	27.0
10.0	59.0
11.0	18.0
12.0	47.0
13.0	49.0
14.0	55.0
15.0	54.0
16.0	46.0
17.0	92.0
18.0	70.0
19.0	98.0
20.0	65.0
21.0	55.0
22.0	97.0
23.0	88.0
24.0	43.0
25.0	80.0
26.0	84.0
27.0	57.0
28.0	60.0
29.0	82.0
30.0	71.0
31.0	48.0
32.0	38.0
33.0	61.0
34.0	33.0
35.0	48.0
36.0	44.0
37.0	42.0
38.0	46.0
39.0	33.0
40.0	40.0
41.0	69.0
42.0	57.0
43.0	84.0
44.0	85.0
45.0	67.0
46.0	18.0
47.0	20.0
48.0	27.0
49.0	28.0
50.0	26.0
51.0	25.0
52.0	13.0
53.0	47.0
54.0	50.0
55.0	44.0
56.0	51.0
57.0	55.0
58.0	29.0
59.0	30.0
60.0	17.0
61.0	52.0
62.0	42.0
63.0	27.0
64.0	54.0
65.0	51.0
66.0	47.0
67.0	55.0
68.0	42.0
69.0	37.0
70.0	63.0
71.0	32.0
72.0	26.0
73.0	34.0
74.0	55.0
75.0	31.0
76.0	44.0
77.0	44.0
78.0	45.0
79.0	54.0
80.0	53.0
81.0	52.0
82.0	60.0
83.0	55.0
84.0	52.0
85.0	45.0
86.0	39.0
87.0	35.0
88.0	59.0
89.0	56.0
90.0	59.0
91.0	45.0
92.0	64.0
93.0	24.0
94.0	54.0
95.0	64.0
96.0	51.0
97.0	73.0
98.0	50.0
99.0	84.0
100.0	88.0
101.0	92.0
102.0	73.0
103.0	71.0
104.0	71.0
105.0	105.0
106.0	77.0
107.0	107.0
108.0	104.0
109.0	104.0
110.0	117.0
111.0	125.0
112.0	148.0
113.0	153.0
114.0	159.0
115.0	191.0
116.0	198.0
117.0	224.0
118.0	210.0
119.0	229.0
120.0	243.0
121.0	256.0
122.0	289.0
123.0	287.0
124.0	335.0
125.0	314.0
126.0	388.0
127.0	395.0
128.0	429.0
129.0	397.0
130.0	556.0
131.0	537.0
132.0	524.0
133.0	566.0
134.0	618.0
135.0	685.0
136.0	744.0
137.0	694.0
138.0	694.0
139.0	689.0
140.0	751.0
141.0	838.0
142.0	820.0
143.0	868.0
144.0	861.0
145.0	927.0
146.0	934.0
147.0	980.0
148.0	1053.0
149.0	1027.0
150.0	1130.0
151.0	1115.0
152.0	1075.0
153.0	1093.0
154.0	1000.0
155.0	1039.0
156.0	1091.0
157.0	1121.0
158.0	1112.0
159.0	1139.0
160.0	1029.0
161.0	1106.0
162.0	1129.0
163.0	987.0
164.0	1013.0
165.0	990.0
166.0	964.0
167.0	1009.0
168.0	929.0
169.0	981.0
170.0	999.0
171.0	923.0
172.0	790.0
173.0	853.0
174.0	799.0
175.0	801.0
176.0	815.0
177.0	777.0
178.0	687.0
179.0	769.0
180.0	641.0
181.0	644.0
182.0	610.0
183.0	576.0
184.0	553.0
185.0	489.0
186.0	452.0
187.0	496.0
188.0	477.0
189.0	440.0
190.0	448.0
191.0	412.0
192.0	372.0
193.0	364.0
194.0	342.0
195.0	363.0
196.0	308.0
197.0	308.0
198.0	269.0
199.0	278.0
200.0	240.0
201.0	224.0
202.0	239.0
203.0	205.0
204.0	180.0
205.0	167.0
206.0	184.0
207.0	168.0
208.0	171.0
209.0	192.0
210.0	166.0
211.0	162.0
212.0	136.0
213.0	123.0
214.0	123.0
215.0	127.0
216.0	103.0
217.0	126.0
218.0	85.0
219.0	102.0
220.0	98.0
221.0	112.0
222.0	110.0
223.0	87.0
224.0	88.0
225.0	86.0
226.0	79.0
227.0	64.0
228.0	62.0
229.0	62.0
230.0	45.0
231.0	57.0
232.0	69.0
233.0	47.0
234.0	42.0
235.0	38.0
236.0	45.0
237.0	42.0
238.0	44.0
239.0	45.0
240.0	53.0
241.0	45.0
242.0	53.0
243.0	48.0
244.0	21.0
245.0	24.0
246.0	33.0
247.0	15.0
248.0	17.0
249.0	40.0
250.0	21.0
251.0	28.0
252.0	19.0
253.0	44.0
254.0	26.0
255.0	21.0
256.0	20.0
257.0	19.0
258.0	23.0
259.0	12.0
260.0	30.0
261.0	15.0
262.0	12.0
263.0	21.0
264.0	8.0
265.0	10.0
266.0	18.0
267.0	8.0
268.0	16.0
269.0	9.0
270.0	10.0
271.0	10.0
272.0	10.0
273.0	13.0
274.0	9.0
275.0	18.0
276.0	13.0
277.0	6.0
278.0	21.0
279.0	9.0
280.0	10.0
281.0	8.0
282.0	14.0
283.0	18.0
284.0	7.0
285.0	11.0
286.0	13.0
287.0	13.0
288.0	22.0
289.0	19.0
290.0	11.0
291.0	7.0
292.0	6.0
293.0	15.0
294.0	14.0
295.0	7.0
296.0	8.0
297.0	8.0
298.0	17.0
299.0	16.0
300.0	11.0
301.0	11.0
302.0	16.0
303.0	11.0
304.0	15.0
305.0	8.0
306.0	18.0
307.0	29.0
308.0	22.0
309.0	19.0
310.0	13.0
311.0	12.0
312.0	13.0
313.0	10.0
314.0	20.0
315.0	21.0
316.0	18.0
317.0	16.0
318.0	19.0
319.0	16.0
320.0	13.0
321.0	15.0
322.0	20.0
323.0	20.0
324.0	18.0
325.0	20.0
326.0	22.0
327.0	19.0
328.0	19.0
329.0	14.0
330.0	22.0
331.0	21.0
332.0	12.0
333.0	21.0
334.0	20.0
335.0	14.0
336.0	12.0
337.0	15.0
338.0	20.0
339.0	13.0
340.0	24.0
341.0	28.0
342.0	24.0
343.0	33.0
344.0	27.0
345.0	15.0
346.0	33.0
347.0	30.0
348.0	22.0
349.0	40.0
350.0	29.0
351.0	30.0
352.0	40.0
353.0	41.0
354.0	29.0
355.0	32.0
356.0	39.0
357.0	42.0
358.0	45.0
359.0	39.0
360.0	38.0
361.0	46.0
362.0	33.0
363.0	38.0
364.0	31.0
365.0	24.0
366.0	23.0
367.0	31.0
368.0	30.0
369.0	40.0
370.0	32.0
371.0	34.0
372.0	27.0
373.0	53.0
374.0	23.0
375.0	29.0
376.0	39.0
377.0	40.0
378.0	32.0
379.0	18.0
380.0	18.0
381.0	31.0
382.0	25.0
383.0	24.0
384.0	22.0
385.0	23.0
386.0	22.0
387.0	31.0
388.0	31.0
389.0	17.0
390.0	24.0
391.0	25.0
392.0	31.0
393.0	41.0
394.0	29.0
395.0	25.0
396.0	26.0
397.0	19.0
398.0	26.0
399.0	26.0
400.0	30.0
401.0	24.0
402.0	27.0
403.0	33.0
404.0	18.0
405.0	31.0
406.0	22.0
407.0	29.0
408.0	22.0
409.0	46.0
410.0	33.0
411.0	23.0
412.0	17.0
413.0	24.0
414.0	16.0
415.0	17.0
416.0	19.0
417.0	16.0
418.0	29.0
419.0	31.0
420.0	18.0
421.0	23.0
422.0	23.0
423.0	8.0
424.0	31.0
425.0	20.0
426.0	35.0
427.0	17.0
428.0	20.0
429.0	8.0
430.0	12.0
431.0	18.0
432.0	14.0
433.0	18.0
434.0	13.0
435.0	11.0
436.0	28.0
437.0	14.0
438.0	17.0
439.0	11.0
440.0	17.0
441.0	13.0
442.0	21.0
443.0	18.0
444.0	14.0
445.0	21.0
446.0	26.0
447.0	12.0
448.0	18.0
449.0	21.0
450.0	11.0
451.0	17.0
452.0	9.0
453.0	20.0
454.0	16.0
455.0	17.0
456.0	17.0
457.0	11.0
458.0	17.0
459.0	13.0
460.0	9.0
461.0	12.0
462.0	15.0
463.0	13.0
464.0	13.0
465.0	14.0
466.0	9.0
467.0	8.0
468.0	6.0
469.0	7.0
470.0	16.0
471.0	7.0
472.0	9.0
473.0	5.0
474.0	13.0
475.0	11.0
476.0	14.0
477.0	16.0
478.0	10.0
479.0	7.0
480.0	12.0
481.0	9.0
482.0	12.0
483.0	12.0
484.0	7.0
485.0	13.0
486.0	13.0
487.0	19.0
488.0	15.0
489.0	17.0
490.0	7.0
491.0	17.0
492.0	18.0
493.0	16.0
494.0	9.0
495.0	11.0
496.0	13.0
497.0	12.0
498.0	7.0
499.0	5.0
500.0	7.0
501.0	10.0
502.0	8.0
503.0	9.0
504.0	12.0
505.0	14.0
506.0	8.0
507.0	10.0
508.0	10.0
509.0	8.0
510.0	12.0
511.0	11.0
512.0	10.0
513.0	6.0
514.0	16.0
515.0	17.0
516.0	13.0
517.0	16.0
518.0	8.0
519.0	7.0
520.0	4.0
521.0	13.0
522.0	4.0
523.0	8.0
524.0	4.0
525.0	2.0
526.0	7.0
527.0	4.0
528.0	2.0
530.0	2.0
533.0	1.0
535.0	1.0
536.0	4.0
538.0	4.0
540.0	2.0
543.0	6.0
544.0	3.0
545.0	1.0
546.0	4.0
548.0	1.0
549.0	2.0
550.0	5.0
551.0	1.0
553.0	5.0
556.0	1.0
557.0	2.0
558.0	1.0
559.0	1.0
560.0	1.0
561.0	1.0
562.0	2.0
564.0	1.0
566.0	2.0
567.0	2.0
568.0	1.0
569.0	2.0
573.0	2.0
575.0	1.0
576.0	1.0
577.0	1.0
578.0	1.0
579.0	2.0
580.0	1.0
581.0	2.0
582.0	4.0
583.0	1.0
584.0	6.0
585.0	3.0
586.0	4.0
587.0	1.0
588.0	1.0
589.0	1.0
591.0	2.0
592.0	1.0
610.0	3.0
612.0	1.0
613.0	1.0
615.0	1.0
616.0	1.0
617.0	2.0
618.0	1.0
619.0	1.0
624.0	1.0
630.0	1.0
643.0	1.0
644.0	2.0
645.0	1.0
647.0	1.0
651.0	2.0
654.0	1.0
656.0	1.0
657.0	1.0
659.0	1.0
661.0	1.0
664.0	1.0
668.0	1.0
670.0	2.0
672.0	2.0
674.0	4.0
677.0	1.0
678.0	1.0
693.0	2.0
694.0	1.0
695.0	2.0
703.0	1.0
707.0	1.0
708.0	1.0
709.0	2.0
711.0	1.0
712.0	1.0
