#Mapping quality	mapping quality
1.0	327.0
2.0	309.0
3.0	969.0
4.0	241.0
5.0	157.0
6.0	329.0
7.0	247.0
8.0	125.0
9.0	244.0
10.0	166.0
11.0	61.0
12.0	204.0
13.0	217.0
14.0	258.0
15.0	494.0
16.0	126.0
17.0	184.0
18.0	148.0
19.0	203.0
20.0	314.0
21.0	417.0
22.0	462.0
23.0	226.0
24.0	345.0
25.0	319.0
26.0	278.0
27.0	755.0
28.0	1107.0
29.0	1064.0
30.0	1159.0
31.0	1149.0
32.0	1091.0
33.0	1151.0
34.0	1832.0
35.0	2399.0
36.0	2447.0
37.0	2578.0
38.0	3324.0
39.0	4403.0
40.0	16659.0
41.0	959.0
42.0	1245.0
43.0	1190.0
44.0	1404.0
45.0	1409.0
46.0	1626.0
47.0	1544.0
48.0	1874.0
49.0	1643.0
50.0	2290.0
51.0	2042.0
52.0	2453.0
53.0	2819.0
54.0	3097.0
55.0	3280.0
56.0	3831.0
57.0	5009.0
58.0	7591.0
59.0	203079.0
60.0	4924700.0
