#Mapping quality	mapping quality
1.0	251.0
2.0	123.0
3.0	1005.0
4.0	1909.0
5.0	240.0
6.0	342.0
7.0	390.0
8.0	60.0
9.0	595.0
10.0	304.0
11.0	225.0
12.0	142.0
13.0	58.0
14.0	160.0
15.0	408.0
16.0	602.0
17.0	241.0
18.0	218.0
19.0	318.0
20.0	291.0
21.0	379.0
22.0	1001.0
23.0	197.0
24.0	201.0
25.0	230.0
26.0	220.0
27.0	583.0
28.0	790.0
29.0	704.0
30.0	1100.0
31.0	1073.0
32.0	1074.0
33.0	1154.0
34.0	1151.0
35.0	1304.0
36.0	1721.0
37.0	2185.0
38.0	2500.0
39.0	3529.0
40.0	19268.0
41.0	1075.0
42.0	986.0
43.0	987.0
44.0	1167.0
45.0	1220.0
46.0	1096.0
47.0	1366.0
48.0	1423.0
49.0	1573.0
50.0	1720.0
51.0	1759.0
52.0	2204.0
53.0	2427.0
54.0	2721.0
55.0	3059.0
56.0	3727.0
57.0	4881.0
58.0	6939.0
59.0	39022.0
60.0	4940172.0
