Genome	Length(bp)
ATCC_11633	5314922
20HP1591_contig	5172010
20HP1594_contig	5118161
20HP1597_contig	5252383
20HP1608_1_contig	5228540
20HP1608_2_contig	5228059
20HP1609_2_contig	5227377
20HP1613_contig	5199890
20HP1614_contig	5227819
20HP1615_contig	5252294
62XEKK5_contig	5170289
65XENP1_contig	5141843
65XENP2_contig	5142091
65XENP3_contig	5142218
66b_contig	5306942
69_1_contig	5183224
69_24_contig	5240408
70_7_contig	5200885
71_21_contig	5067549
72_7_contig	5119449
75_3_contig	5266309
80_5_contig	5239497
83M_contig	5103637
85_10_contig	5420152
85_16_contig	5249995
86_22_contig	5290985
86_2_contig	5365954
86_46_contig	5228487
87_13_contig	5316849
87_21_contig	5036723
87_47_contig	5381359
87_7_contig	5314166
89_10_contig	5227818
89_16_contig	5320670
90_13_contig	5421015
DC99P1A1_contig	5302797
DC99P1B1_contig	5306535
DOA_1721_contig	5116900
DOA_1726_contig	5151691
DOA_2036_contig	5132190
DOA_2983_contig	5135106
DOA_2987_contig	5154187
DOA_2989_contig	5156912
DOA_2990_contig	5157500
E3_contig	5270563
FB570_contig	5300250
LMG_27970_contig	5037373
LMG_667_contig	5396926
LMG_905_contig	5157086
LMG_909_contig	5092005
LMG_930_contig	5500184
LMG_933_contig	5063804
Ps_1_contig	5191620
Ps_7_contig	5296329
Tabasco1_contig	5145354
Tu_06_contig	5051710
Tu_08_contig	5145614
Tu_10_contig	5126504
Tu_11_contig	5052876
VTM10_contig	5172799
VTM12_contig	5193250
VTM15_contig	5172604
VTM16_contig	5244360
VTM17_contig	5122930
VTM4_contig	5176495
WHRI_8301_contig	5349194
X13_contig	5279639
X22_contig	5099034
X31_contig	5095014
X82_8P_C1_contig	5299398
X82_8P_C2_contig	5254491
X82_8P_C3_contig	5300135
X82_8P_C4_contig	5300662
X82_8P_C5_contig	5299294
X82_8P_C6_contig	5300795
X82_8P_contig	5132767
XCVCP_C_43_contig	5169260
XCVCP_C_51_contig	5127097
XCVKK_C_1_contig	5127467
XCVKK_C_2_contig	5172103
XCVKK_C_3_contig	5172475
XCVKK_C_4_contig	5169790
XCVKK_C_5_contig	5173074
XVP26_contig	5106482
Xcv_DC_93_6_contig	5299795
Xcv_DC_93_7_contig	5186148
Xcv_DC_93_8_contig	5192193
Xcv_DC_93_9_contig	5190523
Xcv_DC_96_1_contig	5300962
Xcv_DC_96_2_contig	5142966
Xcv_DC_96_3_contig	5098207
Xcv_DC_96_4_contig	5301300
Xcv_DC_96_5_contig	5101524
Xcv_DC_97_P1A_contig	5256227
Xcv_DC_97_P2A_contig	5075487
Xcv_DC_97_P3A_contig	5076590
Xcv_DC_98_P2A_contig	5298046
Xcv_Sspep_92_contig	5194795
Xe173_contig	5354628
Xv157_contig	5229532
Xv_72_contig	5456988
Xv_79_contig	5438590
