JBHJBR010000001.1_tRNA1_Lys	113720	113795
JBHJBR010000005.1_tRNA1_Leu	127940	128019
JBHJBR010000007.1_tRNA1_Thr	63718	63793
JBHJBR010000007.1_tRNA2_Val	233282	233356
JBHJBR010000008.1_tRNA1_Ala	87749	87824
JBHJBR010000008.1_tRNA2_Pro	174476	174552
JBHJBR010000009.1_tRNA1_Leu	167685	167771
JBHJBR010000014.1_tRNA1_Leu	65714	65800
JBHJBR010000017.1_tRNA1_Ser	38950	39042
JBHJBR010000018.1_tRNA1_Glu	72432	72507
JBHJBR010000018.1_tRNA2_Ala	72555	72630
JBHJBR010000018.1_tRNA3_Glu	73380	73455
JBHJBR010000018.1_tRNA4_Ala	73503	73578
JBHJBR010000020.1_tRNA1_Gly	76452	76525
