#Mapping quality	mapping quality
1.0	323.0
2.0	127.0
3.0	812.0
4.0	134.0
5.0	306.0
6.0	242.0
7.0	133.0
8.0	142.0
9.0	192.0
10.0	104.0
11.0	220.0
12.0	109.0
13.0	59.0
14.0	131.0
15.0	195.0
16.0	113.0
17.0	376.0
18.0	174.0
19.0	552.0
20.0	601.0
21.0	618.0
22.0	399.0
23.0	426.0
24.0	500.0
25.0	511.0
26.0	455.0
27.0	851.0
28.0	676.0
29.0	1075.0
30.0	1172.0
31.0	1113.0
32.0	1122.0
33.0	1367.0
34.0	1588.0
35.0	2044.0
36.0	2324.0
37.0	3256.0
38.0	3528.0
39.0	4613.0
40.0	11408.0
41.0	899.0
42.0	906.0
43.0	948.0
44.0	1215.0
45.0	1169.0
46.0	1275.0
47.0	1326.0
48.0	1502.0
49.0	1593.0
50.0	1698.0
51.0	1886.0
52.0	2144.0
53.0	2252.0
54.0	2914.0
55.0	2720.0
56.0	3538.0
57.0	4157.0
58.0	6443.0
59.0	206528.0
60.0	4744162.0
