#Coverage (X)	Coverage
1.0	94.63396133656619
2.0	94.56103650350606
3.0	94.50542018230662
4.0	94.46060349981019
5.0	94.42762278498319
6.0	94.39556931186303
7.0	94.36553395304594
8.0	94.33780760789094
9.0	94.30980854458687
10.0	94.2874456563635
11.0	94.26902809069661
12.0	94.25370133071911
13.0	94.23359291252801
14.0	94.21766617262259
15.0	94.19992131172339
16.0	94.18486726989497
17.0	94.16832236885166
18.0	94.15595914609402
19.0	94.14094146668548
20.0	94.12526926371918
21.0	94.11065157092926
22.0	94.09214309921268
23.0	94.07423460742405
24.0	94.05583522296709
25.0	94.03738129488032
26.0	94.01947280309167
27.0	94.00038253265708
28.0	93.98005593994674
29.0	93.95807485713205
30.0	93.93796643894095
31.0	93.9164398863747
32.0	93.89356792427307
33.0	93.8718777408174
34.0	93.84775127523007
35.0	93.82446114529986
36.0	93.79560756512873
37.0	93.76460860218495
38.0	93.73057337718156
39.0	93.69017472869999
40.0	93.64372173730915
41.0	93.59621423574193
42.0	93.54083427027169
43.0	93.4770909482301
44.0	93.40058441681224
45.0	93.31135103843799
46.0	93.2106271353831
47.0	93.09224927747871
48.0	92.95825376023784
49.0	92.79882273029412
50.0	92.60482922025881
51.0	92.3807458077766
