seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
JAJIVY010000033.1	2583	No terminal repeats	3	11	1.0000	NA	2	4.4475	T_virB5	NA
JAJIVY010000054.1	1018	No terminal repeats	2	11	1.0000	NA	1	3.4366	T_virB6	NA
JAJIVY010000053.1	12822	No terminal repeats	18	11	1.0000	NA	0	3.7839	NA	NA
JAJIVY010000002.1	6224	No terminal repeats	10	11	1.0000	NA	1	4.4189	T_virB5	NA
JAJIVY010000077.1	14687	No terminal repeats	13	11	1.0000	NA	1	4.1647	NA	NA
JAJIVY010000087.1	11665	No terminal repeats	14	11	1.0000	NA	3	6.8592	MOBP1;T_virB5	NA
JAJIVY010000001.1	31328	No terminal repeats	41	11	1.0000	NA	11	25.6300	T_virB6;T_virB5;virb4;t4cp2;T_virB1;T_virB10;T_virB9;T_virB6	NA
JAJIVY010000055.1	14745	No terminal repeats	16	11	1.0000	NA	3	9.0358	NA	NA
JAJIVY010000100.1	13710	No terminal repeats	15	11	1.0000	NA	3	11.4351	MOBH;T_virB6;B_traI	NA
JAJIVY010000070.1	24994	No terminal repeats	29	11	1.0000	NA	9	20.2614	T_virB3;virb4;T_virB5;T_virB6;T_virB8;T_virB9;t4cp2	NA
JAJIVY010000036.1	7481	No terminal repeats	10	11	1.0000	NA	0	4.2600	NA	NA
JAJIVY010000067.1	7217	No terminal repeats	11	11	1.0000	NA	1	2.7002	NA	NA
JAJIVY010000009.1	6312	No terminal repeats	8	11	1.0000	NA	0	2.1428	NA	NA
JAJIVY010000040.1	7562	No terminal repeats	9	11	0.9999	NA	1	7.1485	NA	NA
JAJIVY010000034.1	16365	No terminal repeats	20	11	0.9999	NA	7	7.5578	T_virB2;T_virB3;T_virB5;T_virB6;T_virB8;T_virB9;T_virB10	NA
JAJIVY010000059.1	12160	No terminal repeats	10	11	0.9999	NA	0	4.9816	NA	NA
JAJIVY010000085.1	84232	No terminal repeats	95	11	0.9997	NA	6	16.8008	I_traK;I_traI;I_traM;I_traN;traU	NA
JAJIVY010000062.1	75568	No terminal repeats	83	11	0.9997	NA	3	13.6305	I_trbA;I_traW;I_traY	NA
JAJIVY010000031.1	7823	No terminal repeats	8	11	0.9996	NA	2	5.1548	T_virB6;T_virB6	NA
JAJIVY010000044.1	38580	No terminal repeats	30	11	0.9988	NA	0	4.6087	NA	NA
JAJIVY010000020.1	9502	No terminal repeats	9	11	0.9940	NA	0	1.4171	NA	NA
JAJIVY010000094.1	14809	No terminal repeats	17	11	0.9711	NA	0	0.5447	NA	NA
JAJIVY010000037.1	7581	No terminal repeats	5	11	0.9426	NA	0	0.3959	NA	NA
JAJIVY010000090.1	5773	No terminal repeats	5	11	0.9111	NA	0	0.7129	NA	NA
