#Mapping quality	mapping quality
3.0	38.0
5.0	44.0
6.0	27.0
7.0	4.0
8.0	118.0
9.0	87.0
10.0	119.0
11.0	144.0
12.0	119.0
13.0	258.0
14.0	246.0
15.0	286.0
16.0	245.0
17.0	150.0
18.0	66.0
19.0	35.0
20.0	101.0
21.0	125.0
22.0	173.0
23.0	143.0
24.0	45.0
25.0	75.0
26.0	265.0
27.0	96.0
28.0	173.0
29.0	89.0
30.0	179.0
31.0	103.0
32.0	113.0
33.0	82.0
34.0	35.0
35.0	81.0
36.0	111.0
37.0	204.0
38.0	377.0
39.0	272.0
40.0	698.0
41.0	24.0
42.0	17.0
43.0	15.0
44.0	23.0
45.0	24.0
46.0	23.0
47.0	21.0
48.0	16.0
49.0	42.0
50.0	28.0
51.0	90.0
52.0	84.0
53.0	194.0
54.0	171.0
55.0	141.0
56.0	147.0
57.0	366.0
58.0	1130.0
59.0	4329.0
60.0	61908.0
