#Mapping quality	mapping quality
3.0	72.0
4.0	50.0
5.0	42.0
6.0	58.0
7.0	45.0
8.0	15.0
9.0	37.0
10.0	26.0
11.0	79.0
12.0	90.0
13.0	278.0
14.0	361.0
15.0	350.0
16.0	147.0
17.0	89.0
18.0	111.0
19.0	81.0
20.0	30.0
21.0	98.0
22.0	70.0
23.0	88.0
24.0	137.0
25.0	118.0
26.0	181.0
27.0	166.0
28.0	145.0
29.0	94.0
30.0	44.0
31.0	79.0
32.0	123.0
33.0	108.0
34.0	116.0
35.0	113.0
36.0	53.0
37.0	126.0
38.0	78.0
39.0	931.0
40.0	463.0
41.0	55.0
42.0	107.0
43.0	44.0
44.0	59.0
45.0	51.0
46.0	26.0
47.0	31.0
48.0	32.0
49.0	57.0
50.0	30.0
51.0	116.0
52.0	134.0
53.0	134.0
54.0	139.0
55.0	133.0
56.0	177.0
57.0	326.0
58.0	981.0
59.0	5863.0
60.0	60536.0
