#Duplication rate	Coverage
1.0	633688.0
2.0	215618.0
3.0	82723.0
4.0	36360.0
5.0	17392.0
6.0	8850.0
7.0	4776.0
8.0	2688.0
9.0	1604.0
10.0	944.0
11.0	594.0
12.0	443.0
13.0	274.0
14.0	199.0
15.0	154.0
16.0	113.0
17.0	86.0
18.0	61.0
19.0	56.0
20.0	45.0
21.0	33.0
22.0	29.0
23.0	22.0
24.0	30.0
25.0	19.0
26.0	20.0
27.0	15.0
28.0	23.0
29.0	13.0
30.0	13.0
31.0	6.0
32.0	10.0
33.0	4.0
34.0	8.0
35.0	6.0
36.0	7.0
37.0	7.0
38.0	7.0
39.0	2.0
40.0	4.0
41.0	5.0
42.0	4.0
43.0	6.0
44.0	7.0
45.0	6.0
46.0	4.0
47.0	4.0
48.0	4.0
49.0	2.0
50.0	116.0
