#Coverage (X)	Coverage
1.0	91.68598723242714
2.0	91.6259346960029
3.0	91.56528217965072
4.0	91.51539293958166
5.0	91.47588517038703
6.0	91.43408656874024
7.0	91.40026951825612
8.0	91.36417981652977
9.0	91.32559928904197
10.0	91.28632787557653
11.0	91.25425622124642
12.0	91.22102096948029
13.0	91.18662212027816
14.0	91.1543322914288
15.0	91.10889744779448
16.0	91.06364441625954
17.0	91.02131855952456
18.0	90.97317471560952
19.0	90.91354034701385
20.0	90.84732438042073
21.0	90.76696343249608
22.0	90.65553079678789
23.0	90.52371702473954
24.0	90.3572862289698
25.0	90.14291158259434
26.0	89.8772477429846
27.0	89.54145897664515
28.0	89.12280025540964
29.0	88.59390885832184
30.0	87.95820285285002
31.0	87.18015615477591
32.0	86.25218719955551
33.0	85.1456060379071
34.0	83.89484788145269
35.0	82.45971407502003
36.0	80.8224052140801
37.0	79.00761138172832
38.0	76.98789713216867
39.0	74.74326313446969
40.0	72.30816278146331
41.0	69.71701310356163
42.0	66.9624688919498
43.0	64.08192889546967
44.0	61.049393983910356
45.0	57.92969835190968
46.0	54.742077719581744
47.0	51.513694814573476
48.0	48.278421230998816
49.0	45.053638205558215
50.0	41.856526981642794
51.0	38.73084973157262
