#Mapping quality	mapping quality
1.0	7.0
2.0	182.0
3.0	1004.0
4.0	409.0
5.0	204.0
6.0	19.0
7.0	192.0
8.0	19.0
9.0	387.0
10.0	101.0
11.0	397.0
12.0	155.0
13.0	188.0
14.0	147.0
15.0	162.0
16.0	190.0
17.0	211.0
18.0	359.0
19.0	655.0
20.0	479.0
21.0	311.0
22.0	540.0
23.0	385.0
24.0	468.0
25.0	557.0
26.0	520.0
27.0	1286.0
28.0	947.0
29.0	790.0
30.0	667.0
31.0	708.0
32.0	1010.0
33.0	1432.0
34.0	1414.0
35.0	1653.0
36.0	1932.0
37.0	2335.0
38.0	3473.0
39.0	3129.0
40.0	17880.0
41.0	1018.0
42.0	812.0
43.0	788.0
44.0	1036.0
45.0	1085.0
46.0	1285.0
47.0	1143.0
48.0	1462.0
49.0	1513.0
50.0	1741.0
51.0	1913.0
52.0	2424.0
53.0	2376.0
54.0	2617.0
55.0	3056.0
56.0	3505.0
57.0	4140.0
58.0	6441.0
59.0	36021.0
60.0	4921618.0
