#Mapping quality	mapping quality
8.0	12.0
9.0	13.0
10.0	59.0
11.0	9.0
12.0	3.0
13.0	15.0
14.0	46.0
15.0	151.0
16.0	188.0
17.0	296.0
18.0	406.0
19.0	337.0
20.0	325.0
21.0	150.0
22.0	137.0
23.0	218.0
24.0	163.0
25.0	175.0
26.0	86.0
27.0	77.0
28.0	35.0
29.0	40.0
30.0	44.0
31.0	112.0
32.0	72.0
33.0	32.0
34.0	16.0
35.0	70.0
36.0	53.0
37.0	226.0
38.0	97.0
39.0	1011.0
40.0	584.0
41.0	19.0
42.0	25.0
43.0	42.0
44.0	43.0
45.0	39.0
46.0	56.0
47.0	48.0
48.0	87.0
49.0	126.0
50.0	113.0
51.0	40.0
52.0	127.0
53.0	79.0
54.0	136.0
55.0	111.0
56.0	121.0
57.0	433.0
58.0	1007.0
59.0	5563.0
60.0	61161.0
