#Coverage (X)	Coverage
1.0	99.99732025618351
2.0	99.99062089664228
3.0	99.94104563603719
4.0	99.88209127207439
5.0	99.62215612187475
6.0	99.36758045930809
7.0	99.017873891256
8.0	98.54623897955355
9.0	98.20993113058391
10.0	97.96473457137498
11.0	97.80261007047726
12.0	97.69140070209288
13.0	97.5949299246992
14.0	97.41136747326955
15.0	97.29881823297693
16.0	97.22378540611517
17.0	97.12999437253798
18.0	97.08443872765764
19.0	97.03754321086905
20.0	96.99734705362167
21.0	96.93973256156711
22.0	96.90489589195273
23.0	96.83254280890746
24.0	96.72803280006431
25.0	96.61950317549642
26.0	96.52303239810274
27.0	96.45737867459871
28.0	96.41986226116784
29.0	96.3836857196452
30.0	96.36760725674625
31.0	96.34884905003082
32.0	96.28855481415977
33.0	96.25371814454539
34.0	96.19476378058258
35.0	96.1103518503631
36.0	96.05943671784978
37.0	95.99244312243749
38.0	95.95090709328188
39.0	95.84639708443873
40.0	95.78208323284294
41.0	95.69231181499049
42.0	95.60522014095453
43.0	95.52884744218453
44.0	95.45113487150628
45.0	95.36538306937857
46.0	95.25283382908594
47.0	95.1871801055819
48.0	95.11214727872016
49.0	95.04515368330787
50.0	94.93662405873998
51.0	94.83747353752982
