#Mapping quality	mapping quality
2.0	14.0
3.0	31.0
4.0	12.0
5.0	37.0
6.0	31.0
7.0	86.0
8.0	42.0
9.0	46.0
10.0	87.0
11.0	78.0
12.0	145.0
13.0	300.0
14.0	195.0
15.0	161.0
16.0	227.0
17.0	341.0
18.0	380.0
19.0	278.0
20.0	207.0
21.0	169.0
22.0	152.0
23.0	173.0
24.0	206.0
25.0	120.0
26.0	117.0
27.0	56.0
28.0	28.0
29.0	23.0
30.0	36.0
31.0	13.0
32.0	128.0
33.0	105.0
34.0	118.0
35.0	166.0
36.0	65.0
37.0	161.0
38.0	194.0
39.0	397.0
40.0	495.0
41.0	23.0
42.0	19.0
43.0	8.0
44.0	12.0
45.0	6.0
46.0	28.0
47.0	29.0
48.0	38.0
49.0	47.0
50.0	85.0
51.0	101.0
52.0	137.0
53.0	180.0
54.0	168.0
55.0	204.0
56.0	296.0
57.0	415.0
58.0	1550.0
59.0	5379.0
60.0	60287.0
