#Duplication rate	Coverage
1.0	996865.0
2.0	376233.0
3.0	163957.0
4.0	79735.0
5.0	42044.0
6.0	23807.0
7.0	13984.0
8.0	8500.0
9.0	5418.0
10.0	3576.0
11.0	2329.0
12.0	1677.0
13.0	1158.0
14.0	858.0
15.0	632.0
16.0	479.0
17.0	367.0
18.0	275.0
19.0	218.0
20.0	174.0
21.0	152.0
22.0	117.0
23.0	94.0
24.0	78.0
25.0	65.0
26.0	55.0
27.0	65.0
28.0	42.0
29.0	44.0
30.0	35.0
31.0	35.0
32.0	23.0
33.0	31.0
34.0	32.0
35.0	26.0
36.0	16.0
37.0	12.0
38.0	20.0
39.0	9.0
40.0	8.0
41.0	12.0
42.0	13.0
43.0	10.0
44.0	8.0
45.0	7.0
46.0	9.0
47.0	8.0
48.0	4.0
49.0	9.0
50.0	246.0
